,도서명,저자,출판사,ISBN,주제분류번호,등록일자,이미지주소
3555,"린 AI: 사용자 유치, 그로스 마케팅, 성장 전략 수립에 인공지능 활용하기",로밋 파텔 지음;박기석;최은정 옮김,한빛미디어,9791162244302,004.78,2021-06-11,http://image.kyobobook.co.kr/images/book/large/302/l9791162244302.jpg
3556,스마트폰 활용 교육 전문가들을 위한 책 :미래 유망직업 스마트폰 활용지도사 2급 교육 교재 ,"저자: 이종구,이정화,전윤이,노지영,정다연,한경희,백종우,서미경",SNS소통연구소,9791170460657,004.16,2021-06-08,http://image.kyobobook.co.kr/images/book/large/657/l9791170460657.jpg
3557,교과서 속 신나는 컴퓨터 과학 with Spike™ Prime ,"김인철,정한별,강현웅,차동연 지음",핸즈온테크놀러지,9791195490288,005.1,2021-06-08,http://image.kyobobook.co.kr/images/book/large/288/l9791195490288.jpg
3558,친절한 딥러닝 수학 :인공 신경망 이해를 위한 기초 수학 ,다테이시 겐고 지음 ;김형민 옮김,한빛미디어,9791162243886,004.73,2021-06-08,http://image.kyobobook.co.kr/images/book/large/886/l9791162243886.jpg
3559,(15강으로 익히는) 인테리어·건축 디지털 렌더링 =Interior architectural representation :3DS max+AutoCAD+photoshop ,이혁준 저,건기원,9791157675838,004.76,2021-06-01,http://image.kyobobook.co.kr/images/book/large/838/l9791157675838.jpg
3560,(쓰면서 익히는) 알고리즘과 자료구조 ,윤대석 지음,한빛미디어,9791162244104,005.133,2021-06-01,http://image.kyobobook.co.kr/images/book/large/104/l9791162244104.jpg
3561,스마트폰 하나로 잘 나가는 영상 만들기 ,이찬휘 외 지음,들녘,9791159256158,004.16,2021-06-01,http://image.kyobobook.co.kr/images/book/large/158/l9791159256158.jpg
3562,Linux가 보이는 그림책 ,ANK 저 ;오윤기 감역 ;황명희 옮김,BM성안당,9788931556971,005.44,2021-06-01,http://image.kyobobook.co.kr/images/book/large/971/l9788931556971.jpg
3563,(코딩 프렌즈와 함께 하는) 스크래치 게임 챌린지 ,"지란지교에듀랩,이휘동 지음",Youngjin.com(영진닷컴),9788931463392,005.1,2021-06-01,http://image.kyobobook.co.kr/images/book/large/392/l9788931463392.jpg
3564,자료구조와 알고리즘을 함께 Java! :퀴즈로 쏙쏙 이해하는 초보자를 위한 입문서 ,손상우 지음,BJpublic(비제이퍼블릭),9791165920579,005.133,2021-06-01,http://image.kyobobook.co.kr/images/book/large/579/l9791165920579.jpg
3565,(마음까지) 몽글몽글 아이패드 드로잉 :프로크리에이트로 시작하는 세상에서 가장 쉬운 아이패드 드로잉 ,한승현 지음,앤제이books,9791190279062,005.565,2021-06-01,http://image.kyobobook.co.kr/images/book/large/062/l9791190279062.jpg
3566,(어른들을 위한 가장 쉬운) 윈도우10 =Windows 10 :누구나 쉽게 배울 수 있어요! ,지은이: 구홍림,혜지원,9788983797339,005.44,2021-06-01,http://image.kyobobook.co.kr/images/book/large/339/l9788983797339.jpg
3567,엑셀 2016 작품만들기 ,"지은이: 엄정녀,이재욱,이서연",해람북스,9791165711306,005.53,2021-06-01,http://image.kyobobook.co.kr/images/book/large/306/l9791165711306.jpg
3568,(효율적 개발로 이끄는) 파이썬 실천 기술 :파이썬에 숨겨진 힘을 이용해 개발 효율을 높이자! ,스야마 레이 지음 ;김연수 옮김,Jpub(제이펍),9791190665872,005.133,2021-06-01,http://image.kyobobook.co.kr/images/book/large/872/l9791190665872.jpg
3569,보안컨설팅과 보안실무 =security consulting and security practice :차세대 보안 컨설팅 및 실무 필독서 ,"박종철,윤석진,김재수 지음",Jinhan M&B(진한엠앤비),9791129020826,004.61,2021-06-01,http://image.kyobobook.co.kr/images/book/large/826/l9791129020826.jpg
3570,"인공지능, 게임을 만나다 :교과융합 엔트리로 쉽게 배우는 인공지능 ",홍지연 지음,영진.com(영진닷컴),9788931464269,004.73,2021-06-01,http://image.kyobobook.co.kr/images/book/large/269/l9788931464269.jpg
3571,Figma 가이드북 :UI/UX 디자이너를 위한 프로토타이핑 완전 정복 ,김수재 지음,BJpublic(비제이퍼블릭),9791165920319,005.58,2021-05-28,http://image.kyobobook.co.kr/images/book/large/319/l9791165920319.jpg
3572,AI CODING:인공지능스킬 QUEST 103,정락현 지음,코쿤아우트북스,9791196808082,005.135,2021-05-21,http://image.kyobobook.co.kr/images/book/large/082/l9791196808082.jpg
3573,일상이 반짝 아이패드 드로잉 :타야수이 스케치로 나만의 감성 페인팅 ,이은솔 지음,오엘북스,9791196930974,005.56,2021-05-14,http://image.kyobobook.co.kr/images/book/large/974/l9791196930974.jpg
3574,쿼커스 쿡북 :쿠버네티스를 위한 네이티브 자바 솔루션 ,"알렉스 소토 부에노,제이슨 포터 지음;유동환 옮김",한빛미디어,9791162244203,005.133,2021-05-07,http://image.kyobobook.co.kr/images/book/large/203/l9791162244203.jpg
3575,Autodesk fusion 360 3D모델링 & 3D프린팅 :입문편 ,"노수황,이예진,유동욱 공저",메카피아,9791162480106,004.76,2021-04-30,http://image.kyobobook.co.kr/images/book/large/106/l9791162480106.jpg
3576,JPA quick start=JPA 퀵스타트 ,채규태 지음,루비페이퍼,9791186710586,005.115,2021-04-30,http://image.kyobobook.co.kr/images/book/large/586/l9791186710586.jpg
3577,R 데이터 분석 머신러닝 ,조민호 지음,정보문화사,9788956749037,004.73,2021-04-26,http://image.kyobobook.co.kr/images/book/large/037/l9788956749037.jpg
3578,(파이썬으로 경험하는) 빅데이터 분석과 머신러닝 ,"이영호,이수현 지음",생능출판(생능출판사),9788970504803,005.76,2021-04-26,http://image.kyobobook.co.kr/images/book/large/803/l9788970504803.jpg
3579,(SQL server로 배우는) 데이터베이스 개론과 실습 =Database with SQL server ,"박우창,남송휘,이현룡 지음",한빛아카데미,9791156645290,005.75,2021-04-26,http://image.kyobobook.co.kr/images/book/large/290/l9791156645290.jpg
3580,이야기로 배우는 구글 빅쿼리 :데이터를 빠르고 효율적으로 분석하는 방법 ,"구도 마사토,스즈키 다쓰히코,우에노야마 아키라,다카기 도모하루 지음 ;정인식 옮김",한빛미디어,9791162244036,005.76,2021-04-26,http://image.kyobobook.co.kr/images/book/large/036/l9791162244036.jpg
3581,카오스 공학 :견고한 시스템을 만드는 카오스 공학의 이론과 실제 ,러스 마일스 지음 ;권병섭 옮김,에이콘(에이콘출판주식회사),9791161754949,005.1,2021-04-26,http://image.kyobobook.co.kr/images/book/large/949/l9791161754949.jpg
3582,(C로 배우는) 알기 쉬운 자료구조 ,고응남 지음,Infinitybooks(인피니티북스),9791185578743,005.73,2021-04-26,http://image.kyobobook.co.kr/images/book/large/743/l9791185578743.jpg
3583,(다재다능) 코틀린 프로그래밍 :다양한 프로그래밍 패러다임으로 살펴보는 코틀린 기본서 ,저자: 벤컷 수브라마니암 ;번역: 우민식,Youngjin.com(영진닷컴),9788931463422,005.133,2021-04-26,http://image.kyobobook.co.kr/images/book/large/422/l9788931463422.jpg
3584,정보보안과 사이버해킹의 기초 ,"김경신,문재웅 저",복두출판사,9791166750038,004.61,2021-04-26,http://image.kyobobook.co.kr/images/book/large/038/l9791166750038.jpg
3585,데이터 분석과 인공지능 활용:자연 ,"데이터분석과인공지능활용편찬위원회,박소현,백수진,서응교,신윤희,정복문,정혜진 편",Nosvos(노스보스),9788970927534,004.73,2021-04-26,http://image.kyobobook.co.kr/images/book/large/534/l9788970927534.jpg
